,date,username,text,retweets numbers,geo
142,2017-05-30 21:40:05,SixSeasonsPhoto,"I didn't get my viral meningitis from shooting in a swamp, but I definitely know what its like to battle... http:// fb.me/2WSqezmh4",0,
143,2017-05-30 21:39:49,CLASSICNAIJA247,"There was data released on suppressing meningitis ,how come we still have people dying & a large numbers of suspected persons? @IsaacFAdewole",0,
144,2017-05-30 21:39:33,CLASSICNAIJA247,Let us not forget Meningitis is still very much around. It killed 8 people in Kaduna but we are silent about it.,0,
145,2017-05-30 21:38:55,CLASSICNAIJA247,"With the imminent Ebola outbreak in DRC, if it spreads here, can @IsaacFAdewole ministry handle it? Since meningitis hasn't be managed",0,
146,2017-05-30 21:34:05,anescisiologist,"Benta yung meningitis agad, di man nga lang nagkaron ng fever",0,
147,2017-05-30 21:31:13,tesco_press,Mum's warning after daughter dies of meningitis W http:// amzn.to/2rDhW5V via @ not in your cpu pic.twitter.com/IEiiWikqrL,0,
148,2017-05-30 21:30:48,Tk23BotBot5,DEX for Meningitis ：Meta-analysisでは細菌性髄膜炎全体では差がないがPneumococcusでは差があり、特に先進国では。なので細菌性疑ったらいれて損はない、肺炎球菌と分かったら終了。ただ抗菌薬(傾向含む)投与されていたらもう入れられないので注意。,0,
149,2017-05-30 21:30:42,MadamePinkiBlu,"Y luego está la homeopatía. Tan querida o tan odiada homeopatía. La homeopatía no cura el cáncer, ni curará una meningitis ...",0,
150,2017-05-30 21:30:25,COMOmeningitis,"Here's what CoMO member, @masa_za , got up to for World Meningitis Day in South Africa #24HourMeningitis pic.twitter.com/bmUZKg6Mkg",1,
151,2017-05-30 21:27:39,RobustosMD,Si usaron homeopatía... probablemente no estaba vacunado ... otitis no tratada lleva a meningitis !!,0,
152,2017-05-30 21:18:50,BiologicalB,#biologicals World Meningitis Diagnostics Market Emerging Opportunities and Growth Strategies Updated 12072016 ... http:// ow.ly/xEop50bOX5w,0,
153,2017-05-30 21:12:11,muradinoes,Las listas de espera para la vacuna de la meningitis menguan tras meses estancadas http://www. lavozdegalicia.es/noticia/barban za/2017/05/30/listas-espera-vacuna-meningitis-menguan-tras-meses-estancadas/0003_201705B30C1995.htm …,0,
154,2017-05-30 21:09:00,filodespada,Al noveno pasajero le iban a dar el alta ayer. Hoy está en cuidados intensivos con una meningitis . No tengo de qué quejarme.,0,
155,2017-05-30 21:07:34,karnadiutomo,Mum's warning after daughter dies of meningitis W - https:// foodtherapy.life/mums-warning-a fter-daughter-dies-of-meningitis-w/ …,0,
156,2017-05-30 21:00:51,Tk23BotBot5,DEX for Meningitis ：Pneumococcus meningitis でPre or 同時投与なら有意に神経予後、死亡率よい。死亡率低下は全身性合併症の低下により。副作用増加もなし。NEJM 2002; 347: 1549-56,0,
157,2017-05-30 20:53:36,Jolycalunod23,Ano na! Tanung mo naman kung viral or baterial meningitis ang gusto niya. Hahaha,0,
158,2017-05-30 20:32:53,ParaguayTVHD,La meningitis se trasmite de persona a persona https:// goo.gl/s6Bvri pic.twitter.com/d5J0fKtSfp,1,
